mets	metNames	compartment	metFormulas
MAM00001c	(-)-trans-carveol	Cytosol	C10H16O
MAM00001e	(-)-trans-carveol	Extracellular	C10H16O
MAM00002c	(+)-alpha-pinene	Cytosol	C10H16
MAM00002e	(+)-alpha-pinene	Extracellular	C10H16
MAM00003c	(10Z)-heptadecenoic acid	Cytosol	C17H31O2
MAM00003l	(10Z)-heptadecenoic acid	Lysosome	C17H31O2
MAM00003r	(10Z)-heptadecenoic acid	Endoplasmic reticulum	C17H31O2
MAM00003e	(10Z)-heptadecenoic acid	Extracellular	C17H31O2
MAM00004c	(10Z)-heptadecenoyl-CoA	Cytosol	C38H62N7O17P3S
MAM00004m	(10Z)-heptadecenoyl-CoA	Mitochondria	C38H62N7O17P3S
MAM00004r	(10Z)-heptadecenoyl-CoA	Endoplasmic reticulum	C38H62N7O17P3S
MAM00005c	(11R)-HPETE	Cytosol	C20H31O4
MAM00006c	(11Z)-docosenoyl-CoA	Cytosol	C43H72N7O17P3S
MAM00006m	(11Z)-docosenoyl-CoA	Mitochondria	C43H72N7O17P3S
MAM00006r	(11Z)-docosenoyl-CoA	Endoplasmic reticulum	C43H72N7O17P3S
MAM00007c	(11Z)-eicosenoyl-CoA	Cytosol	C41H68N7O17P3S
MAM00007m	(11Z)-eicosenoyl-CoA	Mitochondria	C41H68N7O17P3S
MAM00007x	(11Z)-eicosenoyl-CoA	Peroxisome	C41H68N7O17P3S
MAM00007r	(11Z)-eicosenoyl-CoA	Endoplasmic reticulum	C41H68N7O17P3S
MAM00008c	(11Z,14Z)-eicosadienoic acid	Cytosol	C20H35O2
MAM00008l	(11Z,14Z)-eicosadienoic acid	Lysosome	C20H35O2
MAM00008r	(11Z,14Z)-eicosadienoic acid	Endoplasmic reticulum	C20H35O2
MAM00008e	(11Z,14Z)-eicosadienoic acid	Extracellular	C20H35O2
MAM00009c	(11Z,14Z)-eicosadienoyl-CoA	Cytosol	C41H66N7O17P3S
MAM00009m	(11Z,14Z)-eicosadienoyl-CoA	Mitochondria	C41H66N7O17P3S
MAM00009r	(11Z,14Z)-eicosadienoyl-CoA	Endoplasmic reticulum	C41H66N7O17P3S
MAM00010c	(11Z,14Z,17Z)-eicosatrienoic acid	Cytosol	C20H33O2
MAM00010l	(11Z,14Z,17Z)-eicosatrienoic acid	Lysosome	C20H33O2
MAM00010r	(11Z,14Z,17Z)-eicosatrienoic acid	Endoplasmic reticulum	C20H33O2
MAM00010e	(11Z,14Z,17Z)-eicosatrienoic acid	Extracellular	C20H33O2
MAM00011c	(11Z,14Z,17Z)-eicosatrienoylcarnitine	Cytosol	C27H47NO4
MAM00011m	(11Z,14Z,17Z)-eicosatrienoylcarnitine	Mitochondria	C27H47NO4
MAM00011r	(11Z,14Z,17Z)-eicosatrienoylcarnitine	Endoplasmic reticulum	C27H47NO4
MAM00012c	(11Z,14Z,17Z)-eicosatrienoyl-CoA	Cytosol	C41H64N7O17P3S
MAM00012m	(11Z,14Z,17Z)-eicosatrienoyl-CoA	Mitochondria	C41H64N7O17P3S
MAM00012r	(11Z,14Z,17Z)-eicosatrienoyl-CoA	Endoplasmic reticulum	C41H64N7O17P3S
MAM00013c	(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate	Cytosol	C20H31O5
MAM00014x	(13E)-tetranor-16-carboxy-LTE4	Peroxisome	C19H25NO7S
MAM00015x	(13E)-tetranor-16-oxo-16-CoA-LTE4	Peroxisome	C40H56N8O22P3S2
MAM00016c	(13Z)-docosenoyl-CoA	Cytosol	C43H72N7O17P3S
