IDs	subSystems
SS_1		Arachidonic acid metabolism
SS_2	Acyl-CoA hydrolysis
SS_3	Acylglycerides metabolism
SS_4	Alanine, aspartate and glutamate metabolism
SS_5	Alkaloids biosynthesis
SS_6	Amino sugar and nucleotide sugar metabolism
SS_7	Aminoacyl-tRNA biosynthesis
SS_8	Androgen metabolism
SS_9	Arachidonic acid metabolism
SS_10	Arginine and proline metabolism
SS_11	Artificial reactions
SS_12	Ascorbate and aldarate metabolism
SS_13	Beta oxidation of branched-chain fatty acids (mitochondrial)
SS_14	Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)
SS_15	Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)
SS_16	Beta oxidation of even-chain fatty acids (mitochondrial)
SS_17	Beta oxidation of even-chain fatty acids (peroxisomal)
SS_18	Beta oxidation of odd-chain fatty acids (mitochondrial)
SS_19	Beta oxidation of odd-chain fatty acids (peroxisomal)
SS_20	Beta oxidation of phytanic acid (peroxisomal)
SS_21	Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
SS_22	Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)
SS_23	Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal)
SS_24	Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)
SS_25	Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
SS_26	Beta-alanine metabolism
SS_27	Bile acid biosynthesis
SS_28	Bile acid recycling
SS_29	Biopterin metabolism
SS_30	Biotin metabolism
SS_31	Blood group biosynthesis
SS_32	Butanoate metabolism
SS_33	C5-branched dibasic acid metabolism
SS_34	Carnitine shuttle (cytosolic)
SS_35	Carnitine shuttle (endoplasmic reticular)
SS_36	Carnitine shuttle (mitochondrial)
SS_37	Carnitine shuttle (peroxisomal)
SS_38	Cholesterol biosynthesis 1 (Bloch pathway)
SS_39	Cholesterol biosynthesis 2
SS_40	Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
SS_41	Cholesterol metabolism
SS_42	Chondroitin / heparan sulfate biosynthesis
SS_43	Chondroitin sulfate degradation
SS_44	Cysteine and methionine metabolism
SS_45	Dietary fiber binding
SS_46	Drug metabolism
SS_47	Eicosanoid metabolism
SS_48	Estrogen metabolism
SS_49	Ether lipid metabolism
SS_50	Exchange/demand reactions
SS_51	Fatty acid activation (cytosolic)
SS_52	Fatty acid activation (endoplasmic reticular)
SS_53	Fatty acid biosynthesis
SS_54	Fatty acid biosynthesis (even-chain)
SS_55	Fatty acid biosynthesis (odd-chain)
SS_56	Fatty acid biosynthesis (unsaturated)
SS_57	Fatty acid degradation
SS_58	Fatty acid desaturation (even-chain)
SS_59	Fatty acid desaturation (odd-chain)
SS_60	Fatty acid elongation (even-chain)
SS_61	Fatty acid elongation (odd-chain)
